"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WESD","WESF","WT01","WT03","WT04","WT05","WT06","WT11"
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-01",,,"0.10",,,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-02",,,"0.00","0.0",,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-03",,,"0.00","0.0",,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-04",,,"0.00","0.0",,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-05",,,"0.12",,,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-06",,,"0.00",,,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-07",,,"0.00","0.0",,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-08",,,"0.04","0.0",,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-09",,,"0.00","0.0",,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-10",,,"0.00","0.0",,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-11",,,"0.00","0.0",,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-12",,,"0.00","0.0",,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-13",,,"0.00",,,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-14",,,"0.00",,,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-15",,,"1.00",,,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-16",,,"0.00","0.0",,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-17",,,"0.00","0.0",,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-18",,,"0.00","0.0",,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-19",,,"0.00","0.0",,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-20",,,"0.00","0.0",,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-21",,,"0.00","0.0",,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-22",,,"0.04",,,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-23",,,"0.07",,,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-24",,,"0.05",,,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-25",,,"0.00","0.0",,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-26",,,"0.00","0.0",,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-27",,,"0.00","0.0",,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-28",,,"0.00",,,,,,,,,,,,,
"US1MNRM0163","SAINT PAUL 3.5 WSW, MN US","44.9336","-93.17248","285.9","2022-01-29",,,"0.00",,,,,,,,,,,,,
